,Unnamed: 0,COLUPC,L4,L5,VOL_EQ,IRI_KEY,WEEK,UNITS,DOLLARS,TYPE_DISPEN_ASSORTED,TYPE_DISPEN_POP-UP,TYPE_DISPEN_TEAR OPEN,TYPE_DISPEN_TOP & SIDE OPENING,TYPE_DISPEN_TOP OPENING,BRAND_SALES,UNIT_PRICE,SHEET_PRICE,SALES_SHARE,WEIGHTED_AVG_PRICE,WEIGHTED_AVG_DISPLAY,WEIGHTED_AVG_PR,WEIGHTED_AVG_S_ASSORTED,WEIGHTED_AVG_S_EXTRALARGE,WEIGHTED_AVG_S_FAMILY,WEIGHTED_AVG_S_FULLSIZE,WEIGHTED_AVG_S_JUNIOR,WEIGHTED_AVG_S_MISSING,WEIGHTED_AVG_S_POCKET,WEIGHTED_AVG_S_REGULAR,WEIGHTED_AVG_S_TRAVEL,WEIGHTED_AVG_2PLY,WEIGHTED_AVG_3PLY,WEIGHTED_AVG_FA,WEIGHTED_AVG_F_A+,WEIGHTED_AVG_F_B,WEIGHTED_AVG_F_C,WEIGHTED_AVG_F_NONE,WEIGHTED_AVG_ADD_ALOEVERA,WEIGHTED_AVG_ADD_ALOEVERA_LOTION,WEIGHTED_AVG_ADD_ASSORTED,WEIGHTED_AVG_ADD_LOTION,WEIGHTED_AVG_ADD_MENTHOL,WEIGHTED_AVG_ADD_MISSING,WEIGHTED_AVG_ADD_NO,WEIGHTED_AVG_ADD_NO_DIP,WEIGHTED_AVG_ADD_NOLOTION,WEIGHTED_AVG_C_ASSORTED,WEIGHTED_AVG_C_ASSORTEDPRINT,WEIGHTED_AVG_C_HOLIDAY,WEIGHTED_AVG_C_MISSING,WEIGHTED_AVG_C_PRINT,WEIGHTED_AVG_C_WHITE,store_200171,store_200633,store_217804,store_220159,store_220679,store_222077,store_223759,store_225023,store_234702,store_234748,store_242224,store_244092,store_247176,store_252139,store_252147,store_252570,store_253139,store_255563,store_258282,store_259495,store_264203,store_266481,store_266824,store_267699,store_271172,store_271962,store_274125,store_276392,store_277330,store_278346,store_278571,store_283639,store_284950,store_286951,store_288066,store_291278,store_291506,store_292593,store_293336,store_532828,store_536067,store_646857,store_647512,store_648235,store_648459,store_649405,store_657004,store_657979,store_668871,store_684023,KL_WEIGHTED_AVG_PRICE,KL_WEIGHTED_AVG_DISPLAY,KL_WEIGHTED_AVG_PR,SC_WEIGHTED_AVG_PRICE,SC_WEIGHTED_AVG_DISPLAY,SC_WEIGHTED_AVG_PR,DOLLAR_SALES
0,532,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1114,41,54.53,0,0,0,0,1,51271.0,1.33,0.02078125,0.05117902908076692,0.01126855337325194,0.0,0.0,0.0,0.0,0.6684480505548946,0.05303192838056602,0.0,0.2785200210645394,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27305884418092097,0.0,0.0,0.0,0.2115620916307464,0.0,0.0,0.5153790641883326,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008775048455361733,0.0,0.3629207705391401,0.0061027397260273964,0.0,0.0,54.53
1,1756,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1115,41,54.53,0,0,0,0,1,49704.0,1.33,0.02078125,0.05279253178818606,0.01094680508610977,0.0,0.0,0.0,0.0,0.7344278126508933,0.05279253178818606,0.0,0.21277965556092066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3077418316433285,0.0,0.0,0.0,0.13487848060518268,0.0,0.0,0.5573796877514888,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009177145779749287,0.0,0.0,0.00607481209578745,0.0,0.0,54.53
2,216,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1116,42,55.86,0,0,0,0,1,43068.0,1.33,0.02078125,0.06241292839230984,0.011615352465867928,0.0,0.0,0.0,0.0,0.598495402619114,0.06241292839230984,0.0,0.33909166898857623,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.299804959598774,0.0,0.0,0.0,0.1824092133370484,0.0,0.0,0.5177858270641776,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008768258760107816,1.0525412398921834,0.0,0.0055182083739045784,0.0,0.8296007789678675,55.86
3,29,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1117,36,47.88,0,0,0,0,1,41644.0,1.33,0.02078125,0.05532609739698397,0.011213380078762849,0.0,0.0,0.0,0.0,0.7278839688790703,0.05532609739698397,0.0,0.21678993372394584,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.2731726058976083,0.0,0.0,0.0,0.17712035347228894,0.0,0.0,0.5497070406301028,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875632558538468,0.8652272245069317,0.0,0.00538159757330637,0.0,0.922143579373104,47.88
4,316,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1118,37,49.21,0,0,0,0,1,42071.0,1.33,0.02078125,0.05628580257184284,0.01124218582871812,0.0,0.0,0.0,0.0,0.6879798435977277,0.0585438900905612,0.0,0.2534762663117112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27876684652135675,0.0,0.0,0.0,0.17872168477098238,0.0,0.0,0.5425114687076609,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00748358329338538,1.7060591534077507,0.8530295767038754,0.006368535150201301,0.0,0.0,49.21
5,85,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1119,36,47.88,0,0,0,0,1,40276.0,1.33,0.02078125,0.05720528354354953,0.011246399841096436,0.0,0.0,0.0,0.0,0.6882510676333299,0.05720528354354953,0.0,0.2545436488231205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27887575727480385,0.0,0.0,0.0,0.17916376998708908,0.0,0.0,0.5419604727381071,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077954426664174434,1.2827893678369802,0.6413946839184901,0.005635175605771849,0.8837462564661039,0.8837462564661039,47.88
6,1349,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1120,35,46.55,0,0,0,0,1,38632.0,1.3299999999999998,0.02078125,0.057983019258645685,0.01127588527645475,0.0,0.0,0.0,0.0,0.6914475046593498,0.057983019258645685,0.0,0.2505694760820046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2816318078277076,0.0,0.0,0.0,0.1776765375854214,0.0,0.0,0.5406916545868711,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077942836663381435,1.2824370576113249,0.6412185288056627,0.006362225969645869,0.0,0.0,46.55
7,437,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1121,37,49.21,0,0,0,0,1,56700.0,1.33,0.02078125,0.0417636684303351,0.011032275132275131,0.0,0.0,0.0,0.0,0.7276190476190476,0.0417636684303351,0.0,0.2306172839506173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2754144620811287,0.0,0.0,0.0,0.20684303350970012,0.0,0.0,0.517742504409171,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00886060271238394,0.9905993263593108,0.0,0.006576923076923077,0.0,0.0,49.21
8,1486,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1122,34,45.22,0,0,0,0,1,41388.0,1.33,0.02078125,0.05257562578525177,0.011106359331207112,0.0,0.0,0.0,0.0,0.7062916787474631,0.05257562578525177,0.0,0.2411326954672852,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26829032569827005,0.0,0.0,0.0,0.18788054508553206,0.0,0.0,0.5438291292161979,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008731571115168067,0.603173629115976,0.301586814557988,0.006100352802822423,0.0,0.0,45.22
9,440,13700031680,PROCTER & GAMBLE,PUFFS PLUS,0.64,200171,1123,45,59.85,0,0,0,0,1,43600.0,1.33,0.02078125,0.06605504587155964,0.011245871559633028,0.0,0.0,0.0,0.0,0.7067889908256881,0.06605504587155964,0.0,0.2271559633027523,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3005504587155963,0.0,0.0,0.0,0.16954128440366972,0.0,0.0,0.5299082568807341,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00912892018603956,0.0,0.0,0.005420066717988196,0.0,0.8652809853733641,59.85
